vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,dist_long_lat,driver_avg_speed,slope,trip_duration_hours,dist_kilometers
Quito,2016-09-17 09:32:06,2016-09-17 10:05:51,0.632054633906495,0.52894747510808,-78.5494469183617,-0.361362602899222,2025,24228,346,16197.768012786537,43.072,0.011243915062909018,0.5625,24.228
Guadalajara Easy Taxi,2016-09-17 09:59:54,2016-09-17 10:06:23,0.327804230328055,0.391949867733989,-103.36659966,20.68697134,389,2962,3675,5814.093200244836,27.41182519280206,-0.19571954426519442,0.10805555555555556,2.962
Monterrey,2016-09-17 10:06:52,2016-09-17 10:09:40,0.140909735466988,0.563279525176679,-100.165737267718,25.619387370531,168,951,0,1328.8159469999307,20.37857142857143,-0.24979508929810731,0.04666666666666667,0.951
Monterrey,2016-09-17 09:45:56,2016-09-17 10:13:34,0.207564729548657,0.590416254274665,-100.491720635433,25.676294314197,1659,11082,358,952.4004906644578,24.047739602169983,-0.249116743669027,0.4608333333333333,11.082
Monterrey,2016-09-17 10:12:00,2016-09-17 10:16:31,0.128881293812628,0.580418527061714,-100.104166,25.64386166,272,2021,3614,1679.6008016245946,26.748529411764704,-0.25005169262658394,0.07555555555555556,2.021
Monterrey,2016-09-17 10:18:20,2016-09-17 10:18:41,0.141188213205065,0.564267624153506,-100.186171270371,25.643129393024,22,2502,517,1165.6594691532794,409.41818181818184,-0.24997031615265414,0.006111111111111111,2.502
Monterrey,2016-09-17 08:40:23,2016-09-17 10:23:18,0.1579867090181,0.631889110598001,-100.2576123,25.72749166,6175,3579,346,645.9534208285895,2.0865425101214576,-0.24991737137522047,1.7152777777777777,3.579
Manta,2016-09-17 09:52:35,2016-09-17 10:32:47,0.797677022839611,0.0616423829046376,-80.70252338,-0.968167540000013,2412,19933,114,6631.624993246944,29.750746268656716,0.012635673505273618,0.67,19.933
Monterrey,2016-09-17 09:48:30,2016-09-17 10:33:27,0.22359965737019,0.62679597019898,-100.49566598,25.68718998,2698,4770,292,1097.3412655338,6.364714603409933,-0.2488143043062735,0.7494444444444445,4.77
Guadalajara Easy Taxi,2016-09-17 10:28:23,2016-09-17 10:35:03,0.327516769437136,0.390198193734171,-103.35945068,20.66955834,401,2733,71,5935.949550638038,24.5356608478803,-0.19558253698715838,0.11138888888888888,2.733
Monterrey,2016-09-17 10:27:41,2016-09-17 10:36:13,0.129025024258087,0.579780755899872,-100.08192932,25.643473,512,4251,3689,1795.705394364486,29.88984375,-0.2501093059946119,0.14222222222222222,4.251
Monterrey,2016-09-17 10:33:15,2016-09-17 10:42:40,0.215667533411415,0.616358160862228,-100.41319886,25.68681838,566,3989,99,654.0474750956029,25.37173144876325,-0.24913785792959342,0.15722222222222224,3.989
Monterrey,2016-09-17 10:24:21,2016-09-17 10:50:06,0.138115974933376,0.6353743607649,-100.094773394302,25.701189800569,1546,15200,111,1620.349763953868,35.394566623544634,-0.2500757545506574,0.42944444444444446,15.2
Monterrey,2016-09-17 10:33:30,2016-09-17 10:54:22,0.223734404662808,0.626167187089369,-100.452447,25.703845,1252,10374,186,840.8161466719622,29.82939297124601,-0.24909246122588,0.3477777777777778,10.374
Aguascalientes,2016-09-17 10:44:49,2016-09-17 10:57:26,0.267437443235223,0.479703740456072,-102.2684175,21.92395594,758,4803,33,7365.384987615002,22.81108179419525,-0.20913905883376757,0.21055555555555555,4.803
Monterrey,2016-09-17 10:54:26,2016-09-17 11:02:25,0.218658923307533,0.628116414483352,-100.45557666,25.697666,479,1259,230,855.576793136454,9.462212943632569,-0.24901653774934002,0.13305555555555557,1.259
Monterrey,2016-09-17 10:19:04,2016-09-17 10:39:48,0.145329446664856,0.574121656537349,-100.125836429619,25.6686698947485,1245,10338,297,1426.7842059589636,29.893012048192773,-0.2502668441012564,0.3458333333333333,10.338
Monterrey,2016-09-17 11:17:59,2016-09-17 11:23:53,0.137029013439592,0.604375314959565,-100.295482976956,25.6944607319377,355,16432,2434,589.9852477322929,166.63436619718308,-0.24982035119640852,0.09861111111111111,16.432
Guadalajara,2016-09-17 10:52:56,2016-09-17 11:32:13,0.338098923484064,0.403187521379087,-103.404412960752,20.6707680875893,2358,25801,280,5849.7447969599525,39.39083969465649,-0.19536427447242022,0.655,25.801
Monterrey,2016-09-17 11:23:40,2016-09-17 11:41:23,0.211104091768088,0.620337465820638,-100.414666630267,25.6629526612061,1063,7065,2531,765.8001377033482,23.92662276575729,-0.24886880384312537,0.29527777777777775,7.065
Monterrey,2016-09-17 11:30:43,2016-09-17 11:44:01,0.221003526199085,0.625520438669373,-100.45896,25.69870966,798,948,39,872.3645680583297,4.276691729323309,-0.24903852110361605,0.22166666666666668,0.948
Monterrey,2016-09-17 11:56:02,2016-09-18 12:06:37,0.179995433479028,0.615397019037495,-100.26932972164,25.6769923902434,635,6224,167,628.3423573679981,35.285669291338586,-0.24949491031925297,0.1763888888888889,6.224
Cali,2016-09-17 09:44:53,2016-09-18 12:11:15,0.417267449473518,0.72191197631924,-76.52784604,3.4165689,8783,16041,3763,11272.455413378964,6.5749288398041665,-0.03502050749524729,2.439722222222222,16.041
Monterrey,2016-09-17 11:44:08,2016-09-18 12:12:07,0.217185686241577,0.612280043892426,-100.41716832,25.67875768,1679,7701,259,694.333443119873,16.511971411554498,-0.24908469760289703,0.4663888888888889,7.701
