timestamp;happy;neutral;surprise;sad;angry;fear;disgust;interaction_type;interaction_element;url
0,12;;;;;;;;START1;;
0,14;;;;;;;;click;BUTTON;/home
0,15;;;;;;;;navigation;;/home
0,45;0,076280226;3,27E-05;1,50E-11;0,009207054;9,18E-08;99,91447926;1,49E-14;;;
3,39;0,049181221;1,55E-05;3,18E-13;0,05227227;9,20E-09;99,89852905;1,70E-16;;;
3,65;1,090193596;3,14E-09;2,58E-19;0,00552243;3,07E-10;98,90428199;9,66E-21;;;
3,88;0,860536462;1,52E-08;2,35E-17;0,002438887;1,43E-09;99,13702021;5,72E-20;;;
4,16;0,000737258;0,000511964;1,54E-16;0,101796875;1,46E-09;99,89695549;6,84E-21;;;
4,41;0,001395685;7,38E-06;1,38E-18;0,003425628;1,51E-09;99,99517202;2,06E-22;;;
4,65;0,000254507;0,00018657;6,19E-19;0,096191961;1,11E-09;99,90336895;4,57E-22;;;
4,89;0,000458216;0,000125383;1,51E-18;0,086742903;1,81E-09;99,91267325;1,79E-21;;;
5,15;0,000660991;1,97E-05;2,21E-18;0,010015153;4,57E-10;99,98930693;2,30E-22;;;
5,42;0,001174906;9,25E-05;1,64E-17;0,026506437;9,00E-11;99,97222423;3,31E-22;;;
5,66;0,001573035;5,36E-07;1,21E-18;0,002240586;3,62E-11;99,9961853;3,56E-23;;;
5,91;0,004694418;9,49E-07;2,17E-17;0,001452129;4,69E-10;99,9938488;5,64E-21;;;
6,19;30,55586401;7,91E-11;2,61E-19;0,000221423;1,12E-10;69,44391545;3,30E-22;;;
6,47;23,44899327;6,31E-11;2,58E-18;0,000252063;1,22E-10;76,55075788;2,14E-22;;;
6,76;9,760978073;7,17E-11;6,81E-19;0,000327167;2,20E-10;90,2387023;5,08E-22;;;
7,05;0,294718193;1,05E-11;1,88E-20;7,32E-05;7,69E-12;99,70520735;2,37E-24;;;
7,29;0,001354821;5,39E-07;9,78E-18;0,001589829;1,60E-09;99,99705553;4,64E-20;;;
7,53;0,003028788;3,06E-08;2,15E-17;0,000481162;3,34E-09;99,99649525;9,90E-20;;;
7,78;1,816384494;1,77E-08;1,02E-16;2,35E-05;1,02E-11;98,18359613;3,01E-25;;;
8,02;11,36430353;6,66E-07;1,10E-14;0,000376587;1,11E-10;88,63531947;8,46E-24;;;
8,31;0,088909349;2,74E-07;2,12E-16;0,000556508;1,33E-09;99,91053342;7,10E-22;;;
8,55;1,530426834;1,51E-07;3,14E-15;0,000763069;2,81E-09;98,46881032;1,29E-20;;;
8,79;0,363472382;9,45E-08;2,82E-16;0,0006279;3,57E-09;99,63589905;6,28E-21;;;
9,04;0,025266397;1,12E-08;1,17E-17;0,000188079;1,60E-09;99,97454286;6,05E-21;;;
9,29;0,005464774;4,00E-07;2,73E-17;0,002054339;8,75E-09;99,99247789;2,74E-19;;;
9,52;0,000121633;3,01E-07;1,02E-17;0,00158911;3,03E-09;99,99829531;1,58E-19;;;
9,76;5,76E-05;1,72E-07;2,65E-17;0,001501128;1,89E-09;99,99843836;2,84E-19;;;
10;0,002112946;4,71E-08;2,15E-17;0,000504114;1,38E-09;99,99738932;4,29E-20;;;
10,23;0,288638053;3,80E-07;1,01E-15;0,001275982;8,44E-09;99,71008897;3,00E-19;;;
10,47;14,84927982;2,11E-06;5,09E-14;0,000772744;2,33E-08;85,14994383;1,79E-20;;;
10,71;87,28433847;1,87E-08;5,29E-14;9,46E-05;7,48E-08;12,71556914;3,57E-20;;;
10,95;94,93477941;3,94E-09;1,26E-15;0,000252217;1,48E-07;5,064970255;4,64E-20;;;
