timestamp;happy;neutral;surprise;sad;angry;fear;disgust;interaction_type;interaction_element;url
0,04;;;;;;;;click;BUTTON;/home
7,87;;;;;;;;click;DIV;/home
8,17;;;;;;;;click;DIV;/home
18,93;;;;;;;;navigation;;/chat
18,98;;;;;;;;click;DIV;/chat
19,24;;;;;;;;navigation;;/chat
20,02;;;;;;;;click;TEXTAREA;/chat
33,25;;;;;;;;click;TEXTAREA;/chat
34,87;;;;;;;;navigation;;/chat
35,2;;;;;;;;click;BUTTON;/chat
48,71;97,32823356;2,386357219;0,018156343;0,023126884;0,000489599;0,24363542;1,84E-06;;;
109,67;;;;;;;;click;BUTTON;
124,61;;;;;;;;navigation;;/home
124,92;;;;;;;;navigation;;/home
124,93;;;;;;;;click;BUTTON;/home
127,57;;;;;;;;click;DIV;
130,81;;;;;;;;click;TEXTAREA;
137,76;0,034061575;75,00532866;0,002414502;6,029854342;18,37432384;0,554014277;1,87E-06;;;
138,08;0,085565243;17,3455204;3,42E-05;46,8083499;6,94E-05;35,76046442;1,16E-09;;;
140,29;;;;;;;;click;SELECT;/home
140,9;0,031208976;65,40481838;0,001572493;11,16232342;21,11193664;2,288118327;2,27E-05;;;
144,48;;;;;;;;click;BUTTON;
145,12;;;;;;;;click;TEXTAREA;
418,98;;;;;;;;navigation;;/home
419,04;;;;;;;;navigation;;/home
419,05;;;;;;;;navigation;;/home
424,21;;;;;;;;click;SELECT;/home
424,98;;;;;;;;click;SELECT;/home
448,63;;;;;;;;navigation;;/express
448,7;;;;;;;;navigation;;/express
450,97;;;;;;;;navigation;;/express
450,98;;;;;;;;click;BUTTON;/express
0,33;9,453911334;46,00937665;0,053677283;3,05931475;37,33763397;4,085691273;0,000387763;;;
0,59;0,014887938;67,17711091;0,184198027;8,805460483;23,5677585;0,249780039;0,000799405;;;
0,85;13,19062561;21,96656764;1,701438241;25,96005797;28,59944105;7,60288313;0,978982914;;;
1,16;69,35347319;30,6306839;0,005795268;0,009884754;0,000164464;3,16E-06;6,89E-09;;;
1,43;99,99963045;0,000367662;1,72E-09;3,90E-06;3,98E-07;2,15E-09;9,63E-13;;;
1,73;92,23647118;7,763282955;0,000127922;0,000121659;5,38E-06;2,93E-08;2,97E-12;;;
2;90,51179886;9,485595673;0,001480055;0,001053074;7,43E-05;1,12E-06;5,96E-10;;;
2,27;94,25054789;5,747263134;0,001568223;0,000331677;0,000271585;1,53E-05;4,86E-10;;;
2,54;62,56371737;36,58033311;0,647598645;0,14366603;0,05191383;0,012524592;0,000244523;;;
2,79;74,54297543;24,50523078;0,850648805;0,032279754;0,02863979;0,040059444;0,000167427;;;
