timestamp;happy;neutral;surprise;sad;angry;fear;disgust;interaction_type;interaction_element;url;;
12,75;99,83316064;0,166837464;1,17E-06;1,35E-07;1,32E-07;1,81E-09;6,34E-16;;;;;
13,02;99,72841142;0,271590885;1,86E-07;1,43E-09;4,34E-10;3,78E-12;2,97E-19;;;;;
13,29;99,84415174;0,155849522;1,49E-06;8,35E-10;1,24E-09;5,23E-11;1,54E-17;;;;;
13,56;99,58156943;0,418429961;1,19E-06;7,23E-08;5,33E-07;6,44E-10;2,91E-14;;;;;
13,83;99,99336004;0,00664235;6,40E-10;6,36E-12;5,13E-12;1,15E-14;1,87E-23;;;;;
14,1;99,85320568;0,146792189;6,94E-08;8,71E-11;3,00E-11;5,25E-13;5,76E-20;;;;;
14,37;99,72946048;0,27054043;4,70E-07;1,29E-10;1,81E-10;7,45E-13;6,66E-20;;;;;
14,64;99,91897941;0,081023527;3,42E-08;6,04E-11;3,41E-11;2,98E-14;3,43E-22;;;;;
14,91;99,68000052;0,319997729;5,05E-08;4,00E-10;1,74E-10;2,04E-13;2,20E-20;;;;;
15,18;97,16717005;2,832818963;1,16E-05;2,17E-07;1,69E-08;4,95E-10;5,16E-16;;;;;
15,45;97,32329281;2,668365146;0,004218169;0,003987768;0,000124495;4,11E-06;2,99E-09;;;;;
15,72;89,70581766;10,2918965;0,001807074;0,000448225;3,56E-05;2,72E-06;3,83E-10;;;;;
15,99;95,35642807;4,559185527;0,074293758;0,007143302;0,002045599;0,000908487;1,66E-07;;;;;
16,26;99,27220932;0,723749951;0,002833994;0,001109783;5,54E-05;4,82E-05;2,55E-10;;;;;
16,53;93,11606288;6,873995066;0,00606884;0,003820389;2,27E-05;2,81E-05;1,87E-09;;;;;
16,8;87,79268119;12,20705208;0,000126457;0,000139317;5,17E-06;8,14E-07;3,10E-11;;;;;
17,07;97,86485421;2,135148399;1,87E-06;4,65E-07;4,96E-09;2,54E-10;7,30E-16;;;;;
17,34;97,91299701;2,086984366;1,62E-05;2,35E-06;1,64E-08;7,76E-09;1,62E-15;;;;;
17,61;94,1421926;5,857740343;5,30E-05;1,33E-05;2,33E-07;1,46E-08;6,97E-14;;;;;
17,88;96,66838646;3,331487626;2,34E-05;9,62E-05;9,70E-06;3,93E-07;1,54E-11;;;;;
18,15;94,76283789;5,23638092;6,20E-06;0,000747784;3,01E-05;2,44E-06;3,50E-10;;;;;
18,42;89,86937404;10,13012379;8,10E-05;0,000385263;2,25E-05;5,11E-06;6,83E-10;;;;;
18,69;94,33236122;5,66761978;6,52E-06;1,66E-05;2,07E-07;8,36E-09;3,16E-13;;;;;
18,96;97,98493385;2,015064657;2,51E-07;4,08E-07;4,77E-10;2,17E-11;4,19E-17;;;;;
19,23;98,44810963;1,551888138;1,56E-06;4,43E-07;1,74E-08;2,92E-10;4,79E-16;;;;;
19,5;98,02133441;1,978661865;8,60E-06;1,37E-07;2,53E-10;3,17E-11;3,54E-18;;;;;
19,77;98,8060534;1,193951257;6,70E-07;1,69E-06;2,37E-08;8,43E-10;2,03E-15;;;;;
20,04;97,94276977;2,057183102;3,40E-06;2,97E-05;3,09E-06;6,26E-08;2,46E-12;;;;;
20,31;98,07235622;1,927609884;3,95E-06;1,98E-05;3,12E-06;2,72E-08;2,66E-12;;;;;
20,58;99,26398993;0,736007839;3,06E-07;3,70E-08;1,69E-09;1,04E-11;5,71E-18;;;;;
20,85;99,39909577;0,600906182;2,58E-08;3,38E-09;1,49E-10;2,20E-13;7,57E-20;;;;;
21,12;99,61231945;0,38768216;1,01E-07;5,55E-09;3,37E-10;5,61E-12;2,03E-18;click;DIV;;;
21,39;98,08688141;1,91308469;4,27E-06;2,66E-05;6,74E-06;4,95E-08;2,51E-12;;;;;
21,66;98,85138266;1,148615753;6,14E-07;1,13E-07;5,82E-09;2,44E-11;5,17E-18;;;;;
21,93;99,99905229;0,000950307;4,62E-08;1,65E-07;4,03E-07;2,86E-10;2,31E-18;;;;;
22,2;98,48472458;1,402205117;0,002710536;0,094538787;0,015698269;0,000122488;2,18E-08;;;;;
22,47;22,15779241;76,24038175;0,00061742;0,358777909;1,216597162;0,025836248;1,27E-10;;;;;
22,74;1,098706014;94,76186037;7,81E-06;3,710701317;0,418768777;0,009956599;1,97E-09;;;;;
23,01;4,284142937;91,78474643;4,30E-05;2,213423063;1,707248;0,010394435;5,93E-09;;;;;
23,28;7,061646134;89,71666694;0,000181251;1,322744228;1,885770634;0,012991662;1,28E-08;;;;;
23,55;7,579354197;88,34426999;0,000172356;2,324706316;1,729662903;0,021835823;4,55E-08;;;;;
23,82;18,5105443;75,66265464;0,000527697;4,482301697;1,292946283;0,051021489;2,16E-07;;;;;
24,09;18,67511123;72,0092535;0,000375918;7,41609931;1,859429106;0,039727992;7,72E-07;;;;;
24,36;0,00342889;84,76966023;0,038736145;5,046562478;4,850469157;5,291148275;5,59E-07;;;;;
24,63;99,8759985;0,123998907;6,96E-09;1,88E-11;4,46E-12;2,01E-15;1,53E-22;;;;;
24,9;99,88512993;0,114872924;8,80E-08;1,03E-10;3,36E-12;6,21E-15;3,45E-21;;;;;
25,17;99,35036302;0,64963433;3,66E-07;2,04E-08;8,06E-10;1,61E-12;2,28E-17;;;;;
25,44;98,58528359;1,414658484;1,21E-05;4,26E-05;6,01E-06;9,51E-08;8,50E-10;;;;;
25,71;99,62964654;0,370351574;8,23E-08;6,18E-10;1,23E-10;3,02E-13;3,34E-19;;;;;
25,98;99,32585955;0,674144132;4,90E-07;1,23E-07;3,79E-09;7,77E-11;1,50E-15;;;;;
26,25;93,57104897;6,417839229;0,003169417;0,006574547;0,000528965;0,000796909;4,03E-05;;;;;
26,52;83,84332561;16,0445953;0,017263257;0,08802493;0,004421537;0,002117786;0,000255033;;;;;
26,79;19,84360131;66,98955691;0,467535798;10,08862733;2,153297257;0,226389753;0,23098704;;;;;
27,06;73,42955312;25,56390319;0,313299401;0,379991042;0,219400636;0,091373175;0,002477657;;;;;
27,33;73,21766019;25,09624958;0,463432819;0,855854154;0,212798337;0,134632376;0,019374205;;;;;
27,6;67,31087371;28,10634542;1,072029554;1,887499095;0,359212163;0,948189535;0,31584878;;;;;
27,87;80,36514521;19,33951229;0,124382309;0,103727868;0,018905135;0,046920625;0,001410723;;;;;
28,14;82,72217122;16,93015195;0,160465056;0,098025228;0,075338533;0,013719355;0,000122473;;;;;
28,41;96,61206583;3,361212663;0,02330462;0,002608644;0,000355097;0,000446603;9,39E-07;;;;;
28,68;92,28805808;7,659950275;0,030222824;0,019430796;0,001130076;0,001189329;1,89E-05;;;;;
28,95;90,75963497;8,602944762;0,081848318;0,323987706;0,070738967;0,155689125;0,005158669;;;;;
29,22;85,0168705;14,98102397;0,001645481;0,000399583;5,94E-05;4,62E-06;3,03E-09;;;;;
29,49;15,53846263;49,87061919;8,201823151;14,56914221;3,755788057;5,070784084;2,99337452;;;;;
29,76;39,2183804;53,87496673;1,125420418;2,946132038;1,019970016;1,783937695;0,031194029;;;;;
30,03;19,01671588;80,97206354;1,57E-05;0,002830881;0,008224608;0,000149597;4,66E-11;;;;;
30,3;3,95E-05;5,03E-05;0,001090164;0,066467471;64,67512671;35,25721905;9,48E-09;;;;;
30,57;4,43E-05;0,001114248;2,28E-08;61,59597635;0,061017711;38,3418411;7,69E-06;;;;;
30,84;2,00E-05;2,49E-06;0,00479563;0,013578504;7,751403749;92,23020077;2,38E-12;;;;;
31,11;3,50E-05;1,29E-07;2,85E-06;0,002830886;7,230112702;92,76701808;2,69E-08;;;;;
31,38;0,00049072;99,92844463;3,53E-05;0,013332174;0,00463438;0,053060462;2,15E-11;;;;;
31,65;0,006281285;99,99058247;4,61E-05;0,000342715;0,000230563;0,002517086;5,75E-14;;;;;
31,92;0,226680954;99,76713064;0,000278655;8,34E-05;0,000526224;0,005294571;3,55E-14;;;;;
32,19;0,262054351;99,72472189;0,000197669;0,000292953;0,002530851;0,01020281;1,97E-13;;;;;
32,46;0,157911447;99,83404875;0,000173957;0,00014785;0,002237431;0,005482137;9,23E-14;;;;;
32,73;0,033711537;99,9591291;0,000390542;0,000121293;0,000552021;0,00609352;1,82E-14;;;;;
33;99,51720834;0,482784258;1,16E-05;1,19E-06;6,52E-08;5,60E-08;9,52E-13;;;;;
33,27;99,38255548;0,617442606;1,00E-06;4,76E-08;1,27E-08;3,74E-10;1,33E-15;;;;;
33,54;99,9966383;0,003367089;1,09E-11;3,85E-14;1,81E-14;1,67E-17;5,48E-26;;;;;
33,81;99,97494817;0,025052187;7,47E-09;1,19E-11;2,27E-11;4,47E-14;1,33E-22;;;;;
34,08;99,99848604;0,001511001;7,90E-11;2,77E-13;2,54E-12;1,45E-15;3,41E-25;;;;;
34,35;99,99666214;0,003339861;1,08E-08;5,37E-10;8,38E-10;4,46E-11;7,08E-19;;;;;
34,62;99,8126924;0,187280111;7,21E-06;5,08E-06;1,50E-05;1,20E-09;3,47E-15;;;;;
34,89;96,79264426;3,201996163;0,002367748;0,002388932;0,000498403;0,000106928;2,37E-07;;;;;
35,16;99,73644614;0,262364862;0,000826584;0,000329268;3,45E-05;3,62E-06;4,26E-10;;;;;
35,43;98,402947;1,243294644;0,177185945;0,088567204;0,083554837;0,004232807;0,000219062;;;;;
35,7;97,09709287;1,282625552;1,209475938;0,196475303;0,138154288;0,07452502;0,001659251;;;;;
35,97;98,4834671;1,421254873;0,089468493;0,005244032;0,000454176;0,000111487;6,35E-08;;;;;
36,24;93,00698555;3,618331312;2,516472267;0,596790739;0,130930221;0,126645066;0,003846826;;;;;
36,51;53,50411257;41,45410904;2,715158066;1,882261895;0,143558447;0,285460421;0,015342266;;;;;
36,78;79,19341326;10,8305797;7,743228227;1,783450693;0,159686315;0,254641101;0,035004574;;;;;
37,05;97,1431911;2,704414353;0,123564142;0,026096645;0,002006974;0,000719578;1,17E-05;;;;;
37,32;95,45357282;4,501261771;0,033933299;0,010439992;0,000667967;0,000119779;1,91E-06;;;;;
37,59;69,15440559;29,20805812;1,079948246;0,360295479;0,119159056;0,077415613;0,000716531;;;;;
37,86;93,72057319;6,277582049;0,001102582;0,000709192;2,97E-05;7,61E-07;9,70E-09;;;;;
38,13;84,72866921;14,76534842;0,424405352;0,046457662;0,016460094;0,018604511;6,25E-05;;;;;
38,4;91,30746126;8,636781573;0,02160492;0,031668681;0,001757893;0,00068149;4,09E-05;;;;;
38,67;99,1355061;0,864477693;1,82E-05;2,05E-06;7,21E-08;1,25E-09;7,58E-15;;;;;
38,94;99,22602773;0,773970084;3,26E-06;3,97E-08;3,43E-09;2,02E-11;1,90E-17;;;;;
39,21;99,49945211;0,500545138;6,66E-07;2,35E-08;3,50E-09;1,38E-11;7,52E-17;;;;;
39,48;42,80246794;53,79792452;0,279196724;2,128864825;0,774424523;0,206753891;0,010371136;;;;;
39,75;85,37545975;14,47937167;0,052515015;0,08128384;0,010153971;0,000912978;0,000299143;;;;;
40,02;32,57066309;62,32879758;0,498302327;3,971405327;0,380430254;0,134659279;0,115741196;;;;;
40,29;80,50195575;18,56056899;0,104992522;0,642235344;0,168357242;0,012924244;0,008973228;;;;;
40,56;90,86599296;9,131680973;0,002173243;0,000145637;6,10E-06;1,48E-06;2,26E-09;;;;;
40,83;90,14909863;9,850563109;0,000337674;1,05E-06;1,01E-07;8,52E-09;3,60E-13;;;;;
41,1;95,72671056;4,273245856;4,61E-05;1,65E-07;1,90E-08;8,28E-10;2,54E-14;;;;;
41,37;86,99263257;13,00662684;0,000726738;1,23E-05;3,35E-07;3,99E-08;4,11E-12;;;;;
41,64;7,658209363;73,96788442;4,094127065;7,544482949;2,701969792;3,155547569;0,877778564;;;;;
41,91;0,445324788;4,563614354;6,670642644;30,51621914;8,668198436;12,28525639;36,85074449;;;;;
42,18;1,729763216;2,003057234;9,130645343;42,68776433;4,059665147;21,63039128;18,75871234;;;;;
42,45;23,91750664;64,81652856;3,632150218;4,574663565;1,399601717;1,354539394;0,305018527;;;;;
42,72;42,67775714;54,94239926;0,522998581;1,677583903;0,059429585;0,056583993;0,063243316;;;;;
42,99;76,93797809;22,74511145;0,129598596;0,179152911;0,004000834;0,002768652;0,001392834;;;;;
43,26;71,87408544;27,29701372;0,38914592;0,408414609;0,016811609;0,010860593;0,003659287;;;;;
43,53;10,82054749;10,7195437;9,274153411;30,50081134;3,748836368;10,21834463;24,71776307;;;;;
43,8;1,113656349;35,25681496;2,450171486;23,52915853;7,510922104;21,2915048;8,847774565;;;;;
44,07;0,499290787;0,54122298;4,632750154;8,980238438;3,184047341;7,919440418;74,24300313;;;;;
44,34;99,31015968;0,602451945;0,07650546;0,007388258;0,002796732;0,000685702;1,13E-05;;;;;
44,61;98,56125116;1,309755724;0,118406781;0,005125529;0,000507431;0,004953645;9,83E-07;;;;;
44,88;99,33369168;0,645847309;0,016336656;0,003235203;0,000545066;0,000334536;1,17E-07;;;;;
45,15;98,63155468;1,362814265;0,004292045;0,000804812;0,00047869;5,63E-05;7,82E-08;;;;;
45,42;99,91899133;0,080042129;0,000739157;0,000145983;8,15E-05;4,03E-06;1,20E-09;;;;;
45,69;99,90295767;0,096967595;5,95E-05;7,90E-06;8,99E-06;2,23E-07;7,09E-12;;;;;
45,96;99,95928407;0,040701768;1,22E-05;3,08E-07;4,73E-07;1,56E-09;2,83E-15;;;;;
46,23;99,50298667;0,490635214;0,005685611;0,000318001;0,000333385;4,10E-05;3,95E-09;;;;;
46,5;99,13610816;0,849416945;0,007555685;0,00421578;0,002266764;0,000434184;2,16E-07;;;;;
46,77;99,562186;0,420630444;0,010136101;0,006052508;0,000876771;0,000117235;1,48E-07;;;;;
47,04;99,7951925;0,170141205;0,025856428;0,007925059;0,00047827;0,000407341;1,67E-07;;;;;
47,31;73,29919338;3,154210001;18,75849068;2,612987347;0,827890355;1,286090538;0,061140471;;;;;
47,58;68,0813849;2,83984933;14,67776;9,698595107;2,008290775;2,340084687;0,354037061;;;;;
47,85;98,23263288;1,727354154;0,033635259;0,005137035;0,001102163;0,000144831;4,14E-07;;;;;
48,12;35,6627873;11,32178747;0,331088874;2,698104989;0,459318403;12,32675238;37,20016403;;;;;
48,39;98,86028753;0,738079841;0,276444257;0,096737622;0,012488556;0,015955719;6,52E-06;;;;;
48,66;84,8311007;6,605142355;7,609714568;0,692471256;0,178613921;0,082771719;0,000195669;;;;;
48,93;1,748835668;44,87850666;6,231625378;45,23244202;0,876306649;1,002775505;0,029511953;;;;;
49,2;58,61347811;37,91504348;1,233039836;1,036625884;0,068765533;1,12971026;0,003333134;;;;;
49,47;97,39594444;1,614976026;0,689674396;0,195504481;0,076275888;0,026157334;0,001471448;;;;;
49,74;42,77391434;22,53655046;10,30219868;21,76537812;0,95605338;1,57099776;0,094910065;;;;;
50,01;31,52073324;30,20704985;14,14986253;12,08376735;2,318317257;9,636028856;0,084241905;;;;;
50,28;4,381081089;2,214422449;5,414766073;82,38950968;1,336026844;4,246174172;0,018022262;;;;;
50,55;41,53460562;9,178286046;19,6414873;16,31604284;1,536588557;11,71956956;0,073420326;;;;;
50,82;4,756779135;20,32277258;25,1873985;30,96104449;3,934900325;9,244039461;5,593065878;;;;;
51,09;95,64476583;1,672716911;2,041448774;0,272789078;0,036895429;0,273415602;0,057975666;;;;;
51,36;99,63180421;0,368150555;4,26E-05;5,00E-06;6,01E-08;2,72E-09;2,77E-15;;;;;
51,63;97,17567001;2,786214504;0,035188785;0,00262851;8,66E-05;0,00020578;1,10E-07;;;;;
51,9;94,59082452;4,21584907;1,022150894;0,126691775;0,019242038;0,024726171;0,000520276;;;;;
52,17;98,50657582;1,493121684;0,00030362;1,07E-06;5,66E-09;6,93E-10;4,44E-16;;;;;
52,44;86,08525561;13,8511075;0,062401801;0,000981005;8,21E-05;0,000168724;3,20E-08;;;;;
52,71;90,05190075;9,818207313;0,11061646;0,016905402;0,000763502;0,001598121;9,60E-06;;;;;
52,98;95,78516483;4,139738157;0,063021964;0,010309897;0,000470391;0,001283221;1,46E-05;;;;;
53,25;1,048574131;0,989597756;7,236969471;76,48652792;3,076071292;11,1111097;0,051148375;;;;;
53,52;20,60431741;22,10609947;19,4462753;32,04665696;1,168551064;2,775511746;1,852585341;;;;;
53,79;45,21622956;46,23203278;6,283133477;1,766402647;0,248669111;0,234029233;0,019503683;;;;;
54,06;20,37145942;30,26321232;12,62629181;30,1427424;0,813729037;4,500670731;1,281898376;;;;;
54,33;68,16364337;11,44450971;2,180821579;14,68807695;0,636150446;1,451002614;1,435798213;;;;;
54,6;95,07955909;4,794952646;0,08520385;0,03474179;0,001388522;0,004112214;4,23E-05;;;;;
54,87;0,01225372;0,60963923;5,894800254;29,44357571;20,54146949;43,3497872;0,148480942;;;;;
55,14;51,50872451;28,43432087;7,167479286;9,463222687;0,354378069;2,395529014;0,676337828;;;;;
55,41;89,33665689;8,726948275;0,774870067;0,755174596;0,046874277;0,342150635;0,017324391;;;;;
55,68;94,92607713;4,096766561;0,665885583;0,235663378;0,062261842;0,013270453;7,35E-05;;;;;
55,95;95,25812808;4,321524643;0,207328123;0,167876444;0,03775657;0,007343084;4,61E-05;;;;;
56,22;97,39809632;2,427718043;0,094079215;0,06944281;0,008289862;0,002359843;8,26E-06;;;;;
56,49;99,2749691;0,678513385;0,040167748;0,005214408;0,000772031;0,000369165;7,42E-08;;;;;
56,76;88,8278769;3,384747387;4,301894969;2,821306103;0,356373839;0,306162577;0,00163812;;;;;
57,03;70,60709;7,548591495;3,592980653;17,10177213;0,815730263;0,327962427;0,005876493;;;;;
57,3;82,78172221;10,31683411;1,228740665;5,162617694;0,314638447;0,178541583;0,016895717;;;;;
57,57;46,3344393;15,31343104;5,68576042;28,77755635;2,909097063;0,950076022;0,029643746;;;;;
57,84;80,19987227;2,141398319;6,485186904;9,204756272;0,613596234;1,347771274;0,007417544;;;;;
58,11;91,09356403;6,073219329;1,678890735;0,860061403;0,242271228;0,049387733;0,002610198;;;;;
58,38;0,580539787;9,146942943;17,52094179;42,54059494;8,44585374;16,31380022;5,451326817;;;;;
58,65;1,520689484;4,241739959;4,909650609;69,4498539;2,114480175;13,34718764;4,416397214;;;;;
58,92;59,14691091;14,68335539;19,54677701;3,932529315;0,976005848;1,605147123;0,109275011;;;;;
59,19;12,82987297;19,97434646;24,45682734;31,77389801;3,025525436;5,203636363;2,735890262;;;;;
59,46;1,652907208;6,156349182;9,58326757;56,3380003;3,770856187;11,66348904;10,83513349;;;;;
59,73;60,2574742;7,094201123;8,497398853;22,33419104;0,97991504;0,772430654;0,064391879;;;;;
60;10,66287149;35,07427782;8,600935853;32,24926485;2,495171465;10,5155288;0,40195312;;;;;
60,27;43,14035136;19,13725699;12,46648431;22,46431842;1,501439322;1,215506045;0,074639746;;;;;
60,54;40,2900815;22,96190709;15,82821757;16,98607057;1,341224834;2,303835936;0,288664154;;;;;
