timestamp;happy;neutral;surprise;sad;angry;fear;disgust;interaction_type;interaction_element;url
0,03;;;;;;;;START1;;
0,04;;;;;;;;navigation;;/home
;;;;;;;;;;
0,12;;;;;;;;click;BUTTON;/home
;;;;;;;;;;
0,63;0,052755815;3,047323609;0,188461459;94,02584505;0,080015838;2,60557762;1,04E-05;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
4,56;0,071173148;4,905289704;11,61461616;60,32779576;0,305556734;22,77556048;9,16E-06;;;
4,84;1,44E-09;0,002323684;0,037952291;3,01378835;0,001415336;96,94452882;7,77E-13;;;
5,14;2,51E-09;0,062045577;0,000675607;36,79688573;0,010235432;63,13015819;2,73E-13;;;
5,44;8,31E-08;0,047183226;0,006721933;33,07888806;0,169387425;66,69781804;9,33E-09;;;
5,75;1,48E-07;0,001913575;0,067323495;1,59895048;0,003347672;98,32846502;7,52E-10;;;
6,07;9,17E-05;0,001586438;79,15338874;0,374732655;0,048824056;20,4213798;7,26E-09;;;
6,42;6,93E-07;4,40E-06;25,52320063;0,048838911;0,002629221;74,42533374;4,28E-11;;;
6,71;1,27E-06;0,00305447;11,56468254;1,314921334;0,031696993;87,08564197;1,85E-09;;;
;;;;;;;;;;
7;2,84E-06;0,011752137;17,60389358;2,070201561;0,021131083;80,29302359;3,44E-10;;;
7,32;4,56E-07;0,002474262;11,60468906;1,388303004;0,131418719;86,87311411;5,69E-09;;;
7,62;2,49E-06;8,71E-05;2,772998624;5,795104057;0,187403464;91,24441147;4,92E-08;;;
7,94;2,67E-05;0,028340783;8,137758076;4,801112786;0,8625241;86,17023826;2,20E-07;;;
8,24;0,00030214;0,058431585;73,83054211;0,858604992;0,534205028;24,71791211;5,52E-08;;;
8,59;0,000150848;0,369762814;8,319420118;5,568161566;0,449527594;85,29298218;1,81E-08;;;
8,9;1,43E-05;0,015629998;7,402721047;1,434464566;0,045115029;91,10206366;4,57E-10;;;
9,19;5,66E-05;0,085522818;3,669542754;2,303504297;0,165036976;93,77633407;2,42E-08;;;
9,46;0,018962313;73,86873364;2,373577096;9,8970972;1,332164835;12,50946224;1,16E-06;;;
9,74;0,004787751;35,38508415;0,077764067;54,12943959;5,176285282;5,22663407;3,20E-06;;;
10,01;0,000331023;98,01008701;0,001307029;1,957994513;0,017859833;0,012422763;9,62E-12;;;
10,27;0,001184378;94,1695869;0,067428034;5,403136835;0,04964805;0,309015112;8,28E-11;;;
10,34;;;;;;;;navigation;;/melody
10,54;0,008393997;90,37647843;0,073282508;2,747588605;0,079690927;6,714571267;1,76E-08;;;
10,61;;;;;;;;click;BUTTON;/melody
10,82;0,002206635;10,18783078;30,71580827;4,158716276;1,000400912;53,93503904;2,92E-08;;;
11,12;0,006262317;50,66661239;2,509653009;20,60205787;0,738005526;25,47740638;4,84E-08;;;
11,42;0,003893;1,50190191;63,1738462;3,508438007;0,91612894;30,89579528;5,77E-07;;;
11,68;0,051151714;0,475487048;52,77451591;20,87518548;1,509180382;24,31441243;6,94E-05;;;
11,93;0,001747028;7,207746059;0,060181791;25,76909661;0,556231895;66,40478373;0,000213506;;;
12,21;96,8240736;0,013978399;1,19E-06;2,674327764;3,66E-05;0,485366891;0,002213238;;;
12,47;97,78495418;0,025781062;1,58E-06;1,692767542;0,000199162;0,496082689;0,000219405;;;
12,72;0,117173095;1,517451456;0,01778222;2,938699886;0,036576822;95,37173454;0,000586806;;;
